,name,latitude,longtitude,locationid,hotelurl
49,西安派酒店碑林博物馆和平门店,34.25710196664293,108.972727663342,1239539.0,/Hotel_Review-g298557-d1239539-Reviews-Pai_Hotel_Xi_an_Beilin_Museum_Hepingmen-Xi_an_Shaanxi.html
50,华清爱琴海国际温泉酒店,34.3753498130804,109.20273616266432,1087768.0,/Hotel_Review-g298557-d1087768-Reviews-Huaqing_Aegean_International_Hot_Springs_Resort_Spa-Xi_an_Shaanxi.html
51,西安时空之旅假日公寓酒店,34.29112001453715,108.92607406125143,12526228.0,/Hotel_Review-g298557-d12526228-Reviews-Xi_an_Holiday_Hotel-Xi_an_Shaanxi.html
52,西安大唐西市酒店,34.25213725907828,108.91513809941983,3321445.0,/Hotel_Review-g298557-d3321445-Reviews-Tang_Dynasty_West_Market_Hotel-Xi_an_Shaanxi.html
53,西安锦江之星科技二路软件园店,34.23083613858286,108.89115437370833,2588872.0,/Hotel_Review-g298557-d2588872-Reviews-Jinjiang_Inn_Xi_an_Keji_2_Road_Software_Park-Xi_an_Shaanxi.html
54,君诚国际酒店,34.27540159938261,108.93442013470309,1504096.0,/Hotel_Review-g298557-d1504096-Reviews-Sunda_Gentleman_International_Hotel-Xi_an_Shaanxi.html
55,西安铂菲朗酒店,34.34354261126664,108.94030967614073,14770553.0,/Hotel_Review-g298557-d14770553-Reviews-Boffol_Hote_Xi_an-Xi_an_Shaanxi.html
56,西安汉庭优佳钟楼南门酒店,34.25953261856311,108.95257568075469,1731597.0,/Hotel_Review-g298557-d1731597-Reviews-Hanting_Youjia_Hotel_Xi_an_Zhoulou_South_Gate-Xi_an_Shaanxi.html
57,西安左右客酒店,34.23924125254906,108.90163797911896,2455961.0,/Hotel_Review-g298557-d2455961-Reviews-Zuoyouke_Hotel-Xi_an_Shaanxi.html
58,曲江惠宾苑宾馆,34.2063234534812,108.96954879287729,455569.0,/Hotel_Review-g298557-d455569-Reviews-Paradise_Resort-Xi_an_Shaanxi.html
59,慈恩客栈,34.22908248251101,108.9619378687803,1494799.0,/Hotel_Review-g298557-d1494799-Reviews-Ci_en_Hotel-Xi_an_Shaanxi.html
